Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nicaragua,3101554,1589536,3068913,7023425,13318331,47040385.27,56434114.92,54600873.58,18254595.63,12910760.73,11606465.48,35516543.18,25979429.48,37875140.72,29431480.5,23452838.88,31357231.82,75401954.38,31168225.25,26656643.97,43950461.88,69472016.07,128354592.63
Qatar,2935688,7457157,7794980,12117785,8395654,29440745.73,19511620.9,15337823.11,16141994.45,21618865.17,5104492.01,13227786.5,8931946.48,5223049.18,12192540.59,11548194.45,8172522.71,19642031.66,24635491.3,47630506.36,32042601.71,23255053.49,41129859.53
Malta,2550525,1951664,2566161,2778893,5145271,1535914.56,4205139.32,1739181.29,5889172.5,2907730.01,1835837.55,2696285.52,1853744.57,748401.77,7425032.31,7489014.0,1094276.37,175393375.33,279616070.35,93527324.18,786360.45,2467848.03,1057418.96
Letonia,2269927,2860741,3117867,4472238,8005637,30091178.03,28447375.55,9191938.35,35267026.27,24984085.92,41777652.18,135303906.22,132045369.7,192700446.04,251221784.16,144557485.47,78844628.06,62136837.01,82317808.77,47496510.98,75870556.62,175877446.95,214685141.16
Ucrania,2185203,2961734,6687549,11735048,24646227,47135939.15,48902991.07,80169859.7,120266887.05,36443096.59,72221940.48,85130591.26,81498031.26,76852582.22,36158668.51,29262674.3,51897678.95,43873978.57,38207947.63,35857849.27,30422304.3,41205748.89,19220771.27
Liberia,1784082,51301,433933,5521434,3557408,3096569.11,3482983.63,13819430.31,7150626.29,7258633.81,4743210.96,4063844.57,4237575.17,3508350.91,1767877.42,1118904.53,1218961.22,1126020.7,1145423.96,655673.31,1517107.75,2824033.02,2697596.98
Georgia,1643169,28201,102076,516143,642403,1423171.83,3971523.24,3116014.96,6868591.62,6209114.17,12742148.11,18152336.89,15061699.35,32898214.62,10826687.27,4651792.49,2113613.99,4300715.31,7604760.32,17088554.22,10834217.9,16398537.58,21189930.5
Belice,1627208,1418518,953357,2109070,1006206,1287918.1,1897680.21,2295252.1,180304.85,234384.0,369435.43,415467.02,338571.3,843943.29,795630.77,517336.62,320722.75,838968.64,572326.75,1062703.48,805203.44,1117239.61,1107284.37
República Checa,1517352,2847559,16919667,19482270,19840826,20855144.3,22596063.1,33632890.56,49469280.42,14824408.75,23756859.77,52316424.61,42596951.1,15881877.28,52205455.13,67269256.47,88748699.47,58006381.14,53133650.2,40101808.49,19670268.04,19351684.91,18229868.84
Ghana,1425452,2268442,7193666,10368983,13176175,26138295.29,20514831.76,32366809.04,38215223.14,36685021.52,27138723.44,19073956.78,32777540.03,47940708.75,20657544.2,27898875.99,43861964.07,44216826.82,49315824.67,83482439.16,52853983.44,90228349.89,123379428.69
Kazajistán,1203441,2612940,3720650,51747,1495224,3252463.44,16929574.79,15978400.55,32019854.31,42097472.15,10212199.84,18504628.93,37959067.4,52564637.12,20034802.97,13486900.43,7600810.31,11917032.64,15713307.38,19378134.77,13413489.5,6779494.4,5513848.53
Gabón,1067255,4652734,2165177,5438454,5740492,8281368.57,12311777.19,10251128.79,13673155.32,7314860.15,5842627.95,8367892.93,9187436.2,16586197.71,8663194.68,8942684.43,5539164.03,7933112.37,5759510.64,9448767.16,5223307.83,6629421.16,5191494.51
Lituania,944202,4338159,5326838,10518692,14220273,16032017.42,14294412.47,18802964.53,29414200.59,21719204.92,25293657.14,76535427.38,164292596.75,117224841.72,59885791.52,41511101.92,45942495.89,46142527.82,37414664.97,29025711.37,36009861.9,42875177.52,40288317.57
Benin,937071,334040,1038547,1924567,3231331,2382193.04,4928096.21,4808243.55,5050869.12,2842190.17,2052158.13,5158103.86,13921886.67,3343542.75,8608717.65,5172491.14,2880430.09,2283463.18,1017602.97,1606202.64,1255076.65,3400223.15,5147065.13
